DISTRICT,ADDRESS,CITY,STATE,ZIP,Longitude,Latitude
Headquarters,3510 S Michigan Ave,Chicago,IL,60653,-87.62330201,41.83086073
1,1718 S State St,Chicago,IL,60616,-87.62734257,41.85882087
2,5101 S Wentworth Ave,Chicago,IL,60609,-87.63066366,41.80177387
3,7040 S Cottage Grove Ave,Chicago,IL,60637,-87.60566179,41.76697112
4,2255 E 103rd St,Chicago,IL,60617,-87.56718279,41.70778489
5,727 E 111th St,Chicago,IL,60628,-87.60536436,41.69279474
6,7808 S Halsted St,Chicago,IL,60620,-87.64414142,41.75228176
7,1438 W 63rd St,Chicago,IL,60636,-87.65945323,41.77965871
8,3420 W 63rd St,Chicago,IL,60629,-87.70878105,41.77899321
9,3120 S Halsted St,Chicago,IL,60608,-87.64661991,41.8375031
10,3315 W Ogden Ave,Chicago,IL,60623,-87.70840333,41.85636188
11,3151 W Harrison St,Chicago,IL,60612,-87.70519897,41.87369081
12,100 S Racine Ave,Chicago,IL,60607,-87.65715796,41.88031148
14,2150 N California Ave,Chicago,IL,60647,-87.69732503,41.92125066
15,5701 W Madison St,Chicago,IL,60644,-87.76818127,41.87978023
16,5151 N Milwaukee Ave,Chicago,IL,60630,-87.76623801,41.9741888
17,4650 N Pulaski Rd,Chicago,IL,60630,-87.72816144,41.96605219
18,1160 N Larrabee St,Chicago,IL,60610,-87.64353523,41.90311764
19,850 W Addison St,Chicago,IL,60613,-87.64947786,41.94665927
20,5400 N Lincoln Ave,Chicago,IL,60625,-87.69301593,41.97954202
22,1900 W Monterey Ave,Chicago,IL,60643,-87.66855781,41.69135005
24,6464 N Clark St,Chicago,IL,60626,-87.67118638,41.99944797
25,5555 W Grand Ave,Chicago,IL,60639,-87.76465421,41.91848588
