"Cluster.ID","Community_Code","Community_Name","Crime_Frequency","Housing_Crowded","Household_BPL","Unemployed","Without_Diploma","Age_Bar","Per_Capita_Income","Hardship_Index","Living_Index"
10,10,"Norwood Park",17190,3.5,20.4,8.55,13.3,24.2,33847.5,21.5,-0.179294142848937
17,17,"Dunning",24874.5,1.325,12.825,5.625,2.95,18.65,71451,2.75,0.801758467643288
4,4,"Lincoln Square",6151,0.8,10.65,5.05,5.95,24,58100,6.5,1.34548372856093
8,8,"Near North Side",4505,2.9,11.1,14.1,12.9333,39.5,27738,32,1.21391354133508
7,7,"Lincoln Park",68565,6.3,28.6,22.6,24.4,37.9,15957,73,-1.40513401362006
0,0,"CHICAGO",13189.2,4.8,19.72,15.04,17.58,36.42,22900,45,0.287126179613517
19,19,"Belmont Cragin",29077.5,3.05,17.65,8.65,11.25,21.95,43943.5,12.5,-0.30497893012428
9,9,"Edison Park",21630.5,8.8,42.05,22.7,22.9,43.4,11947.5,87.5,-0.604014586182717
6,6,"Lake View",28319,2.5333,16.6667,7.6667,8.5333,19.1333,51137.6667,9.3333,-0.131731928161882
18,18,"Montclaire",4537.2222,1.9444,10.4333,8.9444,7.8333,33.7222,37530.8889,16,1.32629272840704
16,16,"Irving Park",2750.5,3.55,23.425,18.725,18.55,40.125,21132.75,55.75,0.700596186549043
2,2,"West Ridge",19073.6,5,26.58,20.22,23.08,39.38,17231.2,65,-0.0779935071893025
11,11,"Jefferson Park",9084.1429,4.9571,17.1,12.5429,20.7143,33.4,23675.2857,40.8571,0.200561076093037
14,14,"Albany Park",35736,2.8,31.1,20,14,35.7,19398,55,-0.362795930185376
15,15,"Portage Park",18980,13.55,29.85,19.4,48.15,36.35,11583.5,93.5,-1.74093778700225
5,5,"North Center",4307.5,4.5,53.85,34.25,27.05,48.2,9316.5,97.5,-0.468598587793301
13,13,"North Park",10396.25,11.35,28.725,19.125,40.675,38.375,13872.25,85.25,-0.992121835705658
3,3,"Uptown",5092.5556,6.9778,22.8111,14.7778,31.9667,39.0889,15698.8889,68.2222,0.0882513165798972
1,1,"Rogers Park",5891,3.1,12.18,11.8,15.16,35.78,25606,30.8,0.863436284974306
12,12,"Forest Glen",29024.5,6.0625,32.8625,23.8875,25.1125,41.075,14126.625,78.375,-0.559818260942363
